ORF,name,source,LTH (3-AT),bGAL (+/- SEM)
YLR024C,YLR024C,Ito,100,0.1615+/-0.0752
YLR038C,COX12,Ito,3,NA
YLR053C,YLR053C,Ito,3,NA
YLR071C,RGR1,Ito,50,NA
YLR085C,ARP6,Ito,25,NA
YLR095C,YLR095C,Ito,100,0.2445+/-0.0776
YLR098C,CHA4,Ito,200,0.6499+/-0.0856
YLR102C,APC9,Ito,100,NA
YLR113W,HOG1,Ito,100,0.1389+/-0.0362
YLR119W,SRN2,Ito,3,NA
YLR131C,ACE2,Ito,>200,NA
YLR135W,YLR135W,Ito,>200,0.7172+/-0.1206
YLR144C,ACF2,Ito,>200,NA
YLR154C,YLR154C,Ito,3,-0.099+/-0.0144
YLR182W,SWI6,Ito,100,NA
YLR192C,YLR192C,Ito,>200,0.8849+/-0.0641
YLR212C,TUB4,Ito,100,0.2939+/-0.0491
YLR215C,,Uetz,100,NA
YLR228C,ECM22,Ito,>200,0.7762+/-0.1344
YLR273C,PIG1,Ito,100,NA
YLR285W,YLR285W,Ito,>200,0.9469+/-0.0781
YLR288C,MEC3,Ito,25,NA
YLR300W,EXG1,Ito,25,NA
YLR321C,SFH1,Ito,100,0.2722+/-0.0064
YLR331C,YLR331C,Ito,100,1.0302+/-0.0364
YLR371W,,Uetz,3,NA
YLR403W,SFP1,Ito,3,0.0022+/-0.0089
YLR417W,VPS36,Ito,25,0.0082+/-0.0187
YLR424W,YLR424W,Ito,100,-0.011+/-0.0300
YLR435W,YLR435W,Ito,10,-0.028+/-0.0141
YLR445W,YLR445W,Ito,200,0.1456+/-0.0112
YLR451W,LEU3,Ito,100,0.3956+/-0.1238
YML037C,YML037C,Ito,200,0.0382+/-0.0207
YML058W,SML1,Ito,3,NA
YML068W,YML068W,Ito,3,-0.098+/-0.0059
YML081W,YML081W,Ito,3,-0.061+/-0.0332
YML099C,ARG81,Ito,100,NA
YML128C,YML128C,Ito,100,0.3646+/-0.0531
YMR004W,MVP1,Ito,>200,0.3639+/-0.0600
YMR022W,,Uetz,3,NA
YMR030W,YMR030W,Ito,>200,0.0425+/-0.0698
YMR037C,MSN2,Ito,>200,1.1689+/-0.1381
YMR048W,YMR048W,Ito,>200,0.1739+/-0.0609
YMR080C,NAM7,Ito,200,0.0282+/-0.0298
YMR081C,ISF1,Ito,200,0.2389+/-0.0471
YMR091C,NPL6,Ito,25,NA
YMR112C,YMR112C,Ito,100,0.2012+/-0.0585
YMR133W,REC114,Ito,200,-0.035+/-0.0319
YMR179W,SPT21,Ito,>200,-0.009+/-0.0390
YMR181C,YMR181C,Ito,>200,0.8592+/-0.0775
YMR195W,YMR195W,Ito,>200,0.3746+/-0.0845
YMR223W,UBP8,Ito,50,0.6462+/-0.1722
YMR270C,RRN9,Ito,100,NA
YMR277W,FCP1,Ito,200,0.1342+/-0.0405
YMR295C,YMR295C,Ito,>200,NA
YMR297W,PRC1,Ito,25,NA
YMR299C,YMR299C,Ito,200,0.0979+/-0.0148
YMR323W,YMR323W,Ito,3,-0.014+/-0.0122
YNL004W,HRB1,Ito,3,-0.062+/-0.0235
YNL025C,SSN8,Ito,100,0.2122+/-0.0517
YNL027W,CRZ1,Ito,>200,0.8595+/-0.0728
YNL032W,SIW14,Ito,200,0.7252+/-0.1191
YNL075W,,Uetz,25,NA
YNL091W,YNL091W,Ito,50,-0.014+/-0.0416
YNL092W,YNL092W,Ito,3,-0.045+/-0.0169
YNL103W,MET4,Ito,>200,0.7636+/-0.0770
YNL127W,YNL127W,Ito,3,0.0485+/-0.0240
YNL151C,RPC31,Ito,50,-0.026+/-0.0369
YNL161W,CBK1,Ito,100,0.3809+/-0.1267
YNL164C,YNL164C,Ito,3,0.0162+/-0.0497
YNL199C,GCR2,Ito,100,0.5216+/-0.0662
YNL204C,SPS18,Ito,100,0.0242+/-0.0378
YNL225C,CNM67,Ito,100,0.1709+/-0.0875
YNL236W,SIN4,Ito,>200,0.1229+/-0.0694
YNL308C,,Uetz,3,NA
YNL309W,STB1,Ito,100,NA
YNL314W,DAL82,Ito,100,-0.047+/-0.0655
YNL330C,RPD3,Ito,10,NA
YNR003C,RPC34,Ito,3,NA
YNR004W,YNR00,4W Ito,10,0.0165+/-0.0629
YNR010W,CSE2,Ito,200,0.3445+/-0.0819
YNR017W,MAS6,Ito,200,0.5209+/-0.1233
YNR032W,PPG1,Ito,200,NA
YNR063W,YNR063W,Ito,100,0.0312+/-0.0368
YNR069C,YNR069C,Ito,>200,0.9416+/-0.3435
YOL044W,,Uetz,3,NA
YOL051W,GAL11,Ito,200,0.9772+/-0.0244
YOL067C,RTG1,Ito,>200,0.5925+/-0.0651
YOL108C,INO4,Ito,100,NA
YOL112W,MSB4,Ito,200,0.4759+/-0.1309
YOL135C,MED7,Ito,50,0.0815+/-0.0151
YOL136C,PFK27,Ito,200,0.3526+/-0.0579
YOL148C,SPT20,Ito,100,0.4402+/-0.1069
YOR066W,YOR066W,Ito,>200,0.5309+/-0.1226
YOR070C,GYP1,Ito,>200,-0.070+/-0.0176
YOR162C,YRR1,Ito,100,0.0812+/-0.0411
YOR166C,YOR166C,Ito,200,0.0519+/-0.0395
YOR174W,MED4,Ito,>200,0.1035+/-0.0747
YOR177C,,Uetz,3,NA
YOR178C,GAC1,Ito,>200,0.5292+/-0.0982
YOR194C,TOA1,Ito,>200,NA
YOR197W,YOR197W,Ito,100,0.1565+/-0.0919
YOR262W,YOR262W,Ito,200,0.5596+/-0.0335
YOR281C,YOR281C,Ito,100,NA
YOR290C,SNF2,Ito,200,0.7139+/-0.1587
YOR299W,BUD7,Ito,50,0.1079+/-0.0420
YOR329C,SCD5,Ito,>200,0.2706+/-0.0516
YOR344C,TYE7,Ito,100,0.3559+/-0.1249
YOR352W,YOR352W,Ito,100,0.2375+/-0.0558
YOR355W,GDS1,Ito,100,0.2076+/-0.0304
YOR370C,MRS6,Ito,>200,0.5295+/-0.1343
YOR382W,YOR382W,Ito,3,-0.023+/-0.0297
YPL014W,YPL014W,Ito,3,0.0819+/-0.0381
YPL026C,SKS1,Ito,50,-0.025+/-0.0102
YPL038W,MET31,Ito,50,0.0242+/-0.0316
YPL054W,LEE1,Ito,50,-0.041+/-0.0251
YPL055C,YPL055C,Ito,3,-0.047+/-0.0301
YPL075W,GCR1,Ito,50,0.0769+/-0.0356
YPL089C,RLM1,Ito,200,NA
YPL105C,YPL105C,Ito,200,0.0619+/-0.0482
YPL174C,NIP100,Ito,100,-0.056+/-0.0151
YPL184C,YPL184C,Ito,100,0.5069+/-0.1525
YPL229W,YPL229W,Ito & Uetz,200,0.0929+/-0.0316
YPL233W,YPL233W,Ito,200,NA
YPL250C,YPL250C,Ito,>200,0.5319+/-0.1199
YPL254W,HFI1,Ito,100,0.2372+/-0.1030
YPL278C,YPL278C,Ito,100,0.3419+/-0.0477
YPR007C,YPR007C,Ito,3,-0.013+/-0.0290
YPR008W,YPR008W,Ito,>200,0.8622+/-0.1090
YPR040W,,Uetz,3,NA
YPR046W,MCM16,Ito,50,0.0815+/-0.0187
YPR076W,YPR076W,Ito,100,0.4306+/-0.0696
YPR103W,PRE2,Ito,100,0.0619+/-0.0151
YPR105C,,Uetz,3,NA
YPR119W,,Uetz,3,NA
YPR144C,YPR144C,Ito & Uetz,50,NA
YPR168W,NUT2,Ito,100,0.0442+/-0.0305
YPR179C,YPR179C,Ito,>200,0.8885+/-0.0251
YPR180W,AOS1,Ito,>200,-0.048+/-0.1139
YPR187W,RPO26,Ito,100,0.0695+/-0.0532
