Gene Name,ORF,SD Localization,SD Intensity (Median),SD STD,N' NOP1pr-GFP in SD Localization,N' NOP1pr-GFP in SD Intensity,N' TEF2pr-mCherry in SD Localization,N' TEF2pr-mCherry in SD Intensity,N' NATIVEpr-GFP in SD Localization,N' NATIVEpr-GFP in SD Intensity,N' TEF2pr-VC and Cyto-VN in SD Localization,N' TEF2pr-VC and Cyto-VN in SD Intensity,DTT Localization,DTT Intensity (Median),DTT Fold Change,Significance of DTT Intensity (Median) Change,DTT STD,H2O2 Localization,H2O2 Intensity (Median),H2O2 Fold Change,Significance of H2O2 Intensity (Median) Change,H2O2 STD,Starvation Localization,Starvation Intensity (Median),Starvation Fold Change,Significance of Starvation Intensity (Median) Change,Starvation STD,Pup2 DAmP Localization,MA3 Localization,MA3 Intensity (Median),MA3 Fold Change,Significance of MA3 Intensity (Median) Change,MA3 STD,Description;;;;;
"ADE2,""YOR128C"",""cytosol"",""90.34"",""27.8839"",""cytosol"",""105.099"",""cytosol"",""215.311"",""cytosol"",""182.89"",""#N/A"","""",""cytosol"",""92.39"",""1.02"",""0"",""42.72"",""cytosol"",""111.25"",""1.23"",""0"",""19.74"",""cytosol"",""143.85"",""1.59"",""1"","""",""cytosol"",""cytosol"",""97.4556"",""1.07869"",""0"",""17.3628"",""Phosphoribosylaminoimidazole carboxylase, catalyzes a step in the 'de novo' purine nucleotide biosynthetic pathway";" red pigment accumulates in mutant cells deprived of adenine""";;;;
"ADE3,""YGR204W"",""cytosol"",""317.77"",""90.7784"",""cytosol"",""233.55"",""cytosol"",""224.221"",""cytosol"",""247.843"",""#N/A"","""",""cytosol"",""394.8"",""1.24"",""0"",""192.33"",""cytosol"",""332.41"",""1.04"",""0"",""70.32"",""cytosol"",""552.11"",""1.73"",""1"","""",""cytosol"",""cytosol"",""334.628"",""1.053"",""0"",""38.7372"",""Cytoplasmic trifunctional enzyme C1-tetrahydrofolate synthase, involved in single carbon metabolism and required for biosynthesis of purines, thymidylate, methionine, and histidine";" null mutation causes auxotrophy for adenine and histidine""";;;;
"ADE4,""YMR300C"",""cytosol"",""89.54"",""26.5233"",""punctate"",""16.647"",""missing"","""",""missing"","""",""#N/A"","""",""cytosol"",""127.03"",""1.41"",""1"",""68.09"",""cytosol"",""84.74"",""0.94"",""0"",""17.2"",""cytosol"",""112.44"",""1.25"",""0"","""",""cytosol"",""cytosol"",""116.183"",""1.2974"",""0"",""32.8427"",""Phosphoribosylpyrophosphate amidotransferase (PRPPAT";" amidophosphoribosyltransferase), catalyzes first step of the 'de novo' purine nucleotide biosynthetic pathway""";;;;
"ADH2,""YMR303C"",""cytosol"",""22.38"",""8.41704"",""cytosol"",""181.405"",""cytosol"",""17.8085"",""below threshold"",""153.39"",""cytosol"",""66.7645"",""cytosol"","""","""",""0"","""",""cytosol"",""16.56"",""0.74"",""0"",""4.57"",""cytosol"",""25.18"",""1.12"",""0"","""",""cytosol"",""cytosol"",""18.7942"",""0.839551"",""0"",""3.88103"",""Glucose-repressible alcohol dehydrogenase II, catalyzes the conversion of ethanol to acetaldehyde"; involved in the production of certain carboxylate esters;" regulated by ADR1""";;;
"ADH5,""YBR145W"",""cytosol"",""39.58"",""16.0136"",""cytosol"",""85.341"",""cytosol"",""34.1849"",""cytosol"",""73.2221"",""cytosol"",""44.9794"",""cytosol"",""21.38"",""0.54"",""0"",""13.94"",""cytosol"",""40.88"",""1.03"",""0"",""15.23"",""cytosol"",""34.78"",""0.87"",""0"","""",""cytosol"",""cytosol"",""31.0242"",""0.783788"",""0"",""7.5272"",""Alcohol dehydrogenase isoenzyme V";" involved in ethanol production""";;;;
"ADH6,""YMR318C"",""cytosol"",""127.02"",""38.5518"",""cytosol"",""327.243"",""cytosol"",""17.8083"",""below threshold"",""433.676"",""#N/A"","""",""cytosol"",""144.08"",""1.13"",""0"",""45.39"",""cytosol"",""153.71"",""1.21"",""0"",""55.26"",""cytosol"",""163.51"",""1.28"",""0"","""",""cytosol"",""cytosol"","""","""",""0"","""",""NADPH-dependent medium chain alcohol dehydrogenase with broad substrate specificity"; member of the cinnamyl family of alcohol dehydrogenases;" may be involved in fusel alcohol synthesis or in aldehyde tolerance""";;;
"ADI1,""YMR009W"",""cytosol"",""30.47"",""7.76758"","""","""","""","""","""","""","""","""",""cytosol"","""","""",""0"","""",""cytosol"","""","""",""0"","""",""cytosol"","""","""","""","""",""cytosol"",""cytosol"","""","""",""0"","""",""Acireductone dioxygenease involved in the methionine salvage pathway"; ortholog of human MTCBP-1; transcribed with YMR010W and regulated post-transcriptionally by RNase III (Rnt1p) cleavage;" ADI1 mRNA is induced in heat shock conditions""";;
"ADO1,""YJR105W"",""cytosol"",""369.19"",""86.3541"",""cytosol"",""343.287"",""missing"",""0"",""missing"","""",""#N/A"","""",""cytosol"",""410.09"",""1.11"",""0"",""106.78"",""cytosol"",""393.72"",""1.06"",""0"",""65.08"",""nucleus"","""","""","""","""",""cytosol"",""cytosol"",""395.7"",""1.07179"",""0"",""59.0617"",""Adenosine kinase, required for the utilization of S-adenosylmethionine (AdoMet)";" may be involved in recycling adenosine produced through the methyl cycle""";;;;
"ADR1,""YDR216W"",""cytosol"",""22.11"",""5.66417"",""cytosol"",""59.7755"",""cytosol"",""30.7681"",""cytosol"",""48.5382"",""cytosol"",""41.9283"",""cytosol"",""36.46"",""1.64"",""1"",""21.59"",""cytosol"",""24.93"",""1.12"",""0"",""4.89"",""cytosol"",""20.66"",""0.93"",""0"","""",""cytosol"",""cytosol"",""24.2894"",""1.09803"",""0"",""3.04449"",""Carbon source-responsive zinc-finger transcription factor, required for transcription of the glucose-repressed gene ADH2, of peroxisomal protein genes, and of genes required for ethanol, glycerol, and fatty acid utilization""";;;;;
"AFG2,""YLR397C"",""cytosol"",""36.58"",""8.3712"",""cytosol"",""104.652"",""vacuole"","""",""missing"",""0"",""#N/A"",""0"",""cytosol"",""27.44"",""0.75"",""0"",""11.84"",""cytosol"",""34.7"",""0.94"",""0"",""8.6"",""cytosol"",""27.32"",""0.74"",""0"","""",""cytosol"",""cytosol"",""38.0134"",""1.03907"",""0"",""7.66717"",""ATPase of the CDC48/PAS1/SEC18 (AAA) family, forms a hexameric complex"; is essential for pre-60S maturation and release of several preribosome maturation factors;" may be involved in degradation of aberrant mRNAs""";;;
"AFT2,""YPL202C"",""cytosol"",""19.14"",""9.26766"",""cytosol"",""37.7644"",""cytosol"",""22.9944"",""below threshold"",""12.2176"",""below threshold"",""24.9167"",""cytosol"",""14.54"",""0.76"",""0"",""8.72"",""cytosol"",""15.53"",""0.81"",""0"",""4.16"",""cytosol"",""16.52"",""0.86"",""0"","""",""cytosol"",""cytosol"",""18.1377"",""0.947512"",""0"",""5.30496"",""Iron-regulated transcriptional activator"; activates genes involved in intracellular iron use and required for iron homeostasis and resistance to oxidative stress;" similar to Aft1p""";;;
"AHA1,""YDR214W"",""cytosol"",""107.97"",""31.267"",""cytosol"",""176.151"",""cytosol"",""122.998"",""cytosol"",""247.859"",""cytosol"",""73.3857"",""cytosol"",""168.43"",""1.55"",""1"",""77.04"",""cytosol"",""131.24"",""1.21"",""0"",""27.38"",""nucleus"","""","""","""","""",""cytosol"",""cytosol"",""139.924"",""1.29587"",""0"",""23.5675"",""Co-chaperone that binds to Hsp82p and activates its ATPase activity"; similar to Hch1p;" expression is regulated by stresses such as heat shock""";;;
"AHP1,""YLR109W"",""nucleus:cytosol"",""2851.58"",""690.431"",""cytosol"",""236.16"",""cytosol"",""23.8997"",""cytosol"",""340.777"",""cytosol"",""74.2408"",""nucleus.cytosol"",""2103.16"",""0.73"",""-1"",""665.55"",""nucleus.cytosol"",""2851.58"",""1"",""0"",""883.82"",""nucleus,cytosol"",""2851.58"",""1"",""0"","""",""nucleus:cytosol"",""nucleus:cytosol"",""2103.17"",""0.737541"",""-1"",""545.356"",""Thiol-specific peroxiredoxin, reduces hydroperoxides to protect against oxidative damage";" function in vivo requires covalent conjugation to Urm1p""";;;;
"AIM14,""YGL160W"",""cytosol"",""20.18"",""4.95497"",""ER"",""44.9764"",""ER"",""19.6581"",""below threshold"",""35.7737"",""below threshold"",""23.7974"",""cytosol"",""19.51"",""0.96"",""0"",""10.36"",""cytosol"",""20.16"",""0.99"",""0"",""4.72"",""cytosol"",""18.27"",""0.9"",""0"","""",""cytosol"",""cytosol"",""22.8615"",""1.13271"",""0"",""3.14187"",""Putative protein of with similarity to iron/copper reductases (FRE1-8), possibly involved in iron homeostasis"; may interact with ribosomes;" null mutant displays elevated frequency of mitochondrial genome loss""";;;
"AIM29,""YKR074W"",""nucleus:cytosol"",""38.71"",""9.05682"",""cytosol,nucleus"",""206.21"",""nucleus"",""30.1402"",""nucleus"",""251.767"",""#N/A"",""0"",""nucleus.cytosol"","""","""",""0"","""",""nucleus.cytosol"","""","""",""0"","""",""nucleus,cytosol"","""","""","""","""",""nucleus:cytosol"",""nucleus:cytosol"","""","""",""0"","""",""Putative protein of unknown function"; epitope-tagged protein localizes to the cytoplasm; YKR074W is not an essential gene;" null mutant displays elevated frequency of mitochondrial genome loss""";;
"AIM3,""YBR108W"",""cytosol"",""18.82"",""4.31103"",""cytosol,punctate"",""83.4289"",""cytosol,punctate"",""24.022"",""punctate,bud neck"",""0"",""punctate,bud neck"",""50.1551"",""cytosol"",""23.78"",""1.26"",""0"",""9.12"",""cytosol"",""21.72"",""1.15"",""0"",""4.29"",""punctate"","""","""","""","""",""cytosol"",""cytosol"",""18.4001"",""0.977014"",""0"",""3.79224"",""Protein interacting with Rvs167p";" null mutant is viable and displays elevated frequency of mitochondrial genome loss""";;;;
"AIM7,""YDR063W"",""cytosol"",""40.33"",""10.8041"",""cytosol,punctate"",""195.996"",""cytosol"",""42.0849"",""punctate,bud neck"",""460.665"",""cytosol"",""90.1419"",""cytosol"",""39.81"",""0.98"",""0"",""15.34"",""cytosol"",""32.89"",""0.81"",""0"",""5.77"",""cytosol"",""60.95"",""1.51"",""1"","""",""cytosol"",""cytosol"",""34.1461"",""0.846519"",""0"",""4.64452"",""Putative protein of unknown function"; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus;" null mutant is viable and displays elevated frequency of mitochondrial genome loss""";;;
"AIP1,""YMR092C"",""punctate, cytosol"",""99.57"",""34.5738"",""cytosol,punctate"",""217.041"",""punctate"",""78.0084"",""punctate,bud neck"",""248.375"",""#N/A"",""0"",""punctate, cytosol"",""188.95"",""1.89"",""1"",""67.77"",""punctate, cytosol"",""135.01"",""1.35"",""1"",""25.02"",""punctate, cytosol"",""171.8"",""1.72"",""1"","""",""vacuole"",""punctate, cytosol"",""123.176"",""1.237"",""0"",""25.9484"",""Actin cortical patch component, interacts with the actin depolymerizing factor cofilin"; required to restrict cofilin localization to cortical patches;" contains WD repeats""";;;
"AKL1,""YBR059C"",""cytosol"",""37.78"",""8.46681"",""cytosol,punctate,bud neck"",""84.7497"",""cytosol,cell periphery,punctate"",""28.2134"",""below threshold"",""113.39"",""cell periphery,punctate"",""47.2114"",""punctate"","""","""",""0"","""",""cytosol"",""44.52"",""1.17"",""0"",""6.34"",""cytosol"",""46.8"",""1.23"",""0"","""",""cytosol"",""cytosol"",""42.4051"",""1.12234"",""0"",""5.44024"",""Ser-Thr protein kinase, member (with Ark1p and Prk1p) of the Ark kinase family";" involved in endocytosis and actin cytoskeleton organization""";;;;
"AKR2,""YOR034C"",""cytosol"",""21.03"",""4.79013"",""punctate,mitochondria"",""56.5762"",""vacuole"",""25.6051"",""punctate,vacuole membrane"",""38.3454"",""below threshold"",""29.2401"",""cytosol"",""22.5"",""1.06"",""0"",""7.21"",""cytosol"",""22.88"",""1.08"",""0"",""4.05"",""cytosol"",""17.29"",""0.82"",""0"","""",""cytosol"",""cytosol"",""22.3804"",""1.06398"",""0"",""3.69951"",""Ankyrin repeat-containing protein similar to Akr1p"; member of a family of putative palmitoyltransferases containing an Asp-His-His-Cys-cysteine rich (DHHC-CRD) domain;" possibly involved in constitutive endocytosis of Ste3p""";;;
"ALA1,""YOR335C"",""cytosol"",""374.07"",""116.854"",""cytosol"",""256.641"",""missing"",""19.3304"",""below threshold"",""16.0791"",""cytosol"",""86.43"",""cytosol"",""446.55"",""1.19"",""0"",""176.29"",""cytosol"",""369.19"",""0.98"",""0"",""74.55"",""cytosol"",""314.32"",""0.84"",""0"","""",""cytosol"",""cytosol"",""410.097"",""1.09627"",""0"",""55.3337"",""Cytoplasmic and mitochondrial alanyl-tRNA synthetase, required for protein synthesis"; point mutation (cdc64-1 allele) causes cell cycle arrest at G1;" lethality of null mutation is functionally complemented by human homolog""";;;
"ALD2,""YMR170C"",""cytosol"",""23.67"",""7.63712"",""cytosol"",""312.636"",""cytosol"",""20.505"",""below threshold"",""350.297"",""cytosol"",""85.618"",""cytosol"",""33.52"",""1.41"",""1"",""21.15"",""cytosol"",""23.82"",""1"",""0"",""5.77"",""cytosol"",""89.03"",""3.75"",""1"","""",""cytosol"",""cytosol"",""26.2079"",""1.10679"",""0"",""4.9229"",""Cytoplasmic aldehyde dehydrogenase, involved in ethanol oxidation and beta-alanine biosynthesis"; uses NAD+ as the preferred coenzyme; expression is stress induced and glucose repressed;" very similar to Ald3p""";;
"ALD3,""YMR169C"",""cytosol"",""24.01"",""7.82647"",""cytosol"",""190.475"",""cytosol"",""18.3493"",""below threshold"",""334.694"",""cytosol"",""82.8988"",""cytosol"",""33.71"",""1.4"",""1"",""19.57"",""cytosol"",""24.56"",""1.02"",""0"",""5.92"",""cytosol"",""49.97"",""2.08"",""1"","""",""cytosol"",""cytosol"",""27.9319"",""1.16294"",""0"",""5.61997"",""Cytoplasmic aldehyde dehydrogenase, involved in beta-alanine synthesis"; uses NAD+ as the preferred coenzyme; very similar to Ald2p;" expression is induced by stress and repressed by glucose""";;
"ALD6,""YPL061W"",""cytosol"",""2806.67"",""620.064"",""cytosol"",""119.305"",""cytosol"",""585.883"",""cytosol"",""164.121"",""cytosol"",""65.6975"",""cytosol"",""2161.06"",""0.76"",""-1"",""890.51"",""cytosol"",""2532.76"",""0.9"",""0"",""624.29"",""cytosol"",""791.06"",""0.28"",""-1"","""",""cytosol"",""cytosol"",""2080.95"",""0.741429"",""-1"",""479.23"",""Cytosolic aldehyde dehydrogenase, activated by Mg2+ and utilizes NADP+ as the preferred coenzyme"; required for conversion of acetaldehyde to acetate; constitutively expressed;" locates to the mitochondrial outer surface upon oxidative stress""";;
"ALG14,""YBR070C"",""cytosol"",""21.84"",""5.58798"",""punctate"",""31.3502"",""ER"",""21.636"",""punctate"",""37.3092"",""below threshold"",""22.8584"",""cytosol"",""16.21"",""0.74"",""0"",""6.11"",""cytosol"",""20.93"",""0.95"",""0"",""3.55"",""cytosol"",""18.68"",""0.85"",""0"","""",""cytosol"",""cytosol"",""18.7686"",""0.859044"",""0"",""3.0161"",""Component of UDP-GlcNAc transferase required for the second step of dolichyl-linked oligosaccharide synthesis"; anchors the catalytic subunit Alg13p to the ER membrane;" similar to bacterial and human glycosyltransferases""";;;
"ALG3,""YBL082C"",""cytosol"",""20.92"",""5.03299"",""ER"",""138.247"",""ER"",""25.481"",""ER"",""223.747"",""ER"",""45.6306"",""cytosol"",""20.17"",""0.96"",""0"",""7.96"",""cytosol"",""18.37"",""0.87"",""0"",""4.55"",""cytosol"",""17.15"",""0.81"",""0"","""",""cytosol"",""cytosol"",""23.0658"",""1.10194"",""0"",""3.2827"",""Dolichol-P-Man dependent alpha(1-3) mannosyltransferase, involved in the synthesis of dolichol-linked oligosaccharide donor for N-linked glycosylation of proteins""";;;;;
"ALK1,""YGL021W"",""cytosol"",""24.5"",""6.53703"",""cytosol"",""23.5969"",""below threshold"",""17.2829"",""below threshold"",""7.0209"",""#N/A"",""23.4607"",""cytosol"","""","""",""0"","""",""cytosol"","""","""",""0"","""",""cytosol"","""","""","""","""",""cytosol"",""cytosol"","""","""",""0"","""",""Protein kinase"; accumulation and phosphorylation are periodic during the cell cycle; phosphorylated in response to DNA damage; contains characteristic motifs for degradation via the APC pathway;" similar to Alk2p and to mammalian haspins""";
"ALT2,""YDR111C"",""cytosol"",""31.44"",""6.91257"",""cytosol"",""88.5496"",""cytosol"",""31.1214"",""cytosol"",""124.253"",""cytosol"",""50.2262"",""cytosol"",""20.63"",""0.65"",""0"",""7.55"",""cytosol"",""28.5"",""0.9"",""0"",""5.88"",""cytosol"",""13.44"",""0.42"",""0"","""",""punctate"",""cytosol"",""33.2439"",""1.05715"",""0"",""5.23753"",""Putative alanine transaminase (glutamic pyruvic transaminase)""";;;;;
"ALY1,""YKR021W"",""cytosol"",""22.77"",""4.96452"",""cytosol"",""52.4506"",""cytosol"",""19.451"",""below threshold"",""55.8939"",""cytosol,punctate"",""39.7762"",""cytosol"",""24.6"",""1.08"",""0"",""8.77"",""cytosol"",""22.6"",""0.99"",""0"",""5.01"",""punctate"","""","""","""","""",""cytosol"",""cytosol"",""20.6739"",""0.907527"",""0"",""2.07999"",""Protein proposed to regulate the endocytosis of plasma membrane proteins by recruiting the ubiquitin ligase Rsp5p to its target in the plasma membrane";" green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm""";;;;
"ALY2,""YJL084C"",""cytosol"",""28.89"",""5.79672"",""cytosol"",""51.9269"",""cytosol"",""21.0873"",""below threshold"",""39.7605"",""cytosol"",""39.001"",""cytosol"",""30.88"",""1.06"",""0"",""8.83"",""cytosol"",""33.99"",""1.17"",""0"",""6.17"",""cytosol"",""29.67"",""1.02"",""0"","""",""cytosol"",""cytosol"",""34.2516"",""1.18548"",""0"",""3.95643"",""Protein proposed to regulate the endocytosis of plasma membrane proteins"; interacts with the cyclin Pcl7p and ubiquitin ligase Rsp5p; phosphorylated by the cyclin-CDK complex, Pcl7p-Pho85p;" mRNA is cell cycle regulated, peaking in M phase""";;
"AMD1,""YML035C"",""cytosol"",""54.82"",""15.3679"",""cytosol"",""120.185"",""cytosol"",""52.7864"",""cytosol"",""172.619"",""#N/A"",""0"",""cytosol"",""61.07"",""1.11"",""0"",""24.2"",""cytosol"",""56.73"",""1.03"",""0"",""9.54"",""cytosol"",""73.94"",""1.34"",""1"","""",""cytosol"",""cytosol"",""51.2433"",""0.934669"",""0"",""7.5512"",""AMP deaminase, tetrameric enzyme that catalyzes the deamination of AMP to form IMP and ammonia";" may be involved in regulation of intracellular adenine nucleotide pools""";;;;
"AMN1,""YBR158W"",""cytosol"",""19.46"",""5.14979"",""nucleus"",""24.0109"",""below threshold"",""22.7749"",""punctate,nucleus"",""5.20857"",""#N/A"",""23.1652"",""cytosol"",""16.75"",""0.86"",""0"",""6.16"",""cytosol"",""17.6"",""0.9"",""0"",""4.18"",""cytosol"",""15.32"",""0.78"",""0"","""",""cytosol"",""cytosol"",""19.9696"",""1.02589"",""0"",""3.65237"",""Protein required for daughter cell separation, multiple mitotic checkpoints, and chromosome stability"; contains 12 degenerate leucine-rich repeat motifs;" expression is induced by the Mitotic Exit Network (MEN)""";;;
"ANB1,""YJR047C"",""cytosol"",""26.44"",""6.79459"",""cytosol"",""455.668"",""cytosol"",""25.0883"",""below threshold"",""701.403"",""cytosol"",""88.5312"",""cytosol"",""20.24"",""0.76"",""0"",""8.82"",""cytosol"",""21.38"",""0.8"",""0"",""4.21"",""cytosol"",""18.26"",""0.69"",""0"","""",""cytosol"",""cytosol"",""25.1816"",""0.95236"",""0"",""4.26963"",""Translation elongation factor eIF-5A, previously thought to function in translation initiation"; similar to and functionally redundant with Hyp2p; undergoes an essential hypusination modification;" expressed under anaerobic conditions""";;
"ANR2,""YKL047W"",""cytosol"",""21.89"",""4.0346"",""ER"",""77.052"",""ER"",""29.4084"",""ER"",""114.747"",""ER"",""37.8007"",""cytosol"",""24.71"",""1.12"",""0"",""7.7"",""cytosol"",""20.17"",""0.92"",""0"",""3.16"",""cytosol"",""16.39"",""0.74"",""0"","""",""cytosol"",""cytosol"",""26.306"",""1.20129"",""0"",""4.31928"",""Putative protein of unknown function, predicted to be palmitoylated";" green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm""";;;;
"APA1,""YCL050C"",""cytosol"",""125.81"",""33.3085"",""cytosol"",""21.0165"",""missing"","""",""missing"",""52.7585"",""cytosol"",""79.4809"",""cytosol"",""127.36"",""1.01"",""0"",""44.31"",""cytosol"",""154.27"",""1.22"",""0"",""26.44"",""nucleus"","""","""","""","""",""cytosol"",""cytosol"",""170.787"",""1.35742"",""0"",""41.2945"",""Diadenosine 5',5''-P1,P4-tetraphosphate phosphorylase I (AP4A phosphorylase), involved in catabolism of bis(5'-nucleosidyl) tetraphosphates";" has similarity to Apa2p""";;;;
